epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,61.2142,1.03947,3.13727,3.26389,1.21999,0,0.25785,0.11073,0.20614,0.14785,0.25537,0.10939,0.19952,0.13053,0.88261,2.11006,2.94143,1.12961,0,0.00124228,0.000414095,0.00124228,0.000414095,0.00124228,0.000414095,0.00124228,0.000414095
2,109.031,0.97422,2.32591,2.53504,1.17095,0,0.54289,0.50231,0.4902,0.34249,0.53948,0.48526,0.47274,0.30685,0.91272,1.91028,1.82011,1.16595,0,0.00246761,0.000822537,0.00246761,0.000822537,0.00246761,0.000822537,0.00246761,0.000822537
3,155.34,0.9351,2.15872,1.69188,1.1724,0,0.69815,0.5973,0.65609,0.4625,0.6844,0.58631,0.63301,0.41584,0.86608,1.8692,1.3202,1.14227,0,0.00366819,0.00122273,0.00366819,0.00122273,0.00366819,0.00122273,0.00366819,0.00122273
4,199.409,0.88009,2.1045,1.35527,1.13981,0,0.80645,0.62609,0.71293,0.49604,0.79343,0.61305,0.69107,0.44253,0.86295,1.85418,1.1689,1.12945,0,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287
5,246.011,0.87768,2.06349,1.24705,1.13051,0,0.76979,0.70548,0.75416,0.53666,0.75536,0.68702,0.72792,0.48198,0.85417,1.82319,1.0792,1.11377,0,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005
6,294.418,0.87188,2.00029,1.19262,1.12308,0,0.81163,0.69574,0.75813,0.53511,0.78856,0.68721,0.73329,0.4747,0.83196,1.81383,1.05116,1.09955,0,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
7,337.656,0.85049,1.95222,1.13877,1.10973,0,0.81313,0.71008,0.76997,0.54987,0.81273,0.68918,0.7489,0.48406,0.83948,1.79443,1.01104,1.10689,0,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
8,379.193,0.8632,1.99918,1.10004,1.1129,0,0.78533,0.72622,0.78005,0.56262,0.77058,0.71261,0.75094,0.50455,0.82801,1.79947,0.98241,1.09255,0,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337
9,430.364,0.82304,1.91546,1.06559,1.09368,0,0.78261,0.75697,0.78301,0.56225,0.7928,0.73448,0.76164,0.50975,0.84471,1.79089,0.97502,1.10308,0,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
10,479.699,0.84565,1.92202,1.02966,1.10163,0,0.79846,0.74532,0.78675,0.56776,0.78463,0.72516,0.76137,0.51055,0.83858,1.84277,0.95056,1.10086,0,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863
11,526.478,0.81751,1.8641,0.99282,1.08321,0,0.80785,0.74093,0.7842,0.56483,0.79031,0.72328,0.75853,0.51286,0.83809,1.78343,0.95848,1.10267,0,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
12,567.723,0.82218,1.84272,0.98168,1.08183,0,0.80942,0.74331,0.79332,0.57452,0.78639,0.71897,0.7584,0.5091,0.84969,1.83872,0.94085,1.10536,0,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388
13,608.568,0.81126,1.88257,0.9626,1.08113,0,0.804,0.7552,0.79121,0.57284,0.78906,0.73729,0.76667,0.51537,0.83185,1.83578,0.89258,1.09988,0,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
14,649.759,0.80847,1.78984,0.94122,1.07286,0,0.80193,0.76234,0.80598,0.58313,0.78252,0.74418,0.77416,0.52447,0.82902,1.77664,0.89245,1.08649,0,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913
15,691.128,0.78367,1.78291,0.91044,1.06976,0,0.82727,0.73043,0.80408,0.58215,0.82402,0.71868,0.77878,0.52908,0.84359,1.76464,0.87024,1.10628,0,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
16,740.65,0.8019,1.82024,0.91645,1.07912,0,0.80042,0.7634,0.81237,0.5879,0.78722,0.75031,0.78496,0.52898,0.83718,1.76754,0.83003,1.09058,0,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
17,789.013,0.79839,1.80478,0.90451,1.06933,0,0.81414,0.77547,0.81461,0.5857,0.79548,0.7582,0.79046,0.52254,0.83634,1.78508,0.84094,1.0957,0,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
18,838.041,0.76711,1.73608,0.88973,1.06181,0,0.80601,0.75493,0.80801,0.58916,0.78794,0.73518,0.77501,0.53558,0.83581,1.81295,0.81933,1.10079,0,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962
19,887.215,0.7828,1.73361,0.86011,1.06727,0,0.81546,0.76874,0.80734,0.58994,0.79688,0.75262,0.78127,0.53829,0.84359,1.84189,0.80504,1.09018,0,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
20,938.044,0.77515,1.72962,0.85943,1.0656,0,0.83493,0.76825,0.80481,0.58748,0.81512,0.74236,0.77226,0.53183,0.83366,1.84734,0.80209,1.08925,0,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488
21,987.305,0.77313,1.71395,0.83468,1.05515,0,0.8263,0.74937,0.8061,0.59485,0.82553,0.71759,0.78114,0.53562,0.82001,1.80645,0.81269,1.08635,0,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
22,1033.38,0.76833,1.76481,0.84268,1.05929,0,0.82777,0.76877,0.81675,0.59439,0.80966,0.74965,0.78467,0.53908,0.82536,1.82857,0.80295,1.08981,0,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125
23,1077.13,0.7581,1.70523,0.81386,1.05156,0,0.83172,0.74686,0.81179,0.59657,0.82533,0.72215,0.77551,0.54024,0.8259,1.82072,0.79665,1.09387,0,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
24,1122.19,0.78503,1.76422,0.83251,1.06625,0,0.82829,0.75399,0.80943,0.59394,0.81767,0.73926,0.78535,0.53224,0.8348,1.83056,0.7919,1.09475,0,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375
25,1167.42,0.75818,1.73034,0.81892,1.05176,0,0.82366,0.7722,0.81632,0.59154,0.81996,0.74211,0.78586,0.53688,0.85423,1.81106,0.78706,1.11924,0,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
26,1212.66,0.76204,1.67675,0.79257,1.05076,0,0.82865,0.77308,0.81913,0.59638,0.83256,0.72566,0.78537,0.54347,0.83935,1.80104,0.77951,1.10836,0,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
