epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.90869,1.74897,4.71115,1.68844,0,0,0,0,1.50795,4.78353,1.54081,7.735e-05,7.735e-05,7.735e-05
2,16.0709,1.53062,4.58422,1.46939,0.03704,0.00168,0.01936,0.01549,1.38194,4.62266,1.33876,0.000153236,0.000153236,0.000153236
3,23.1057,1.48353,4.37032,1.40199,0.0771,0.12876,0.09792,0.06083,1.36652,4.24963,1.31932,0.000225632,0.000225632,0.000225632
4,30.3395,1.43851,4.08264,1.39186,0.03632,0.15939,0.12321,0.07918,1.40134,3.71118,1.35588,0.000222292,0.000222292,0.000222292
5,37.7422,1.40416,3.86199,1.35028,0.77999,0.09021,0.13217,0.08752,1.40133,3.44087,1.3506,0.000217056,0.000217056,0.000217056
6,44.8704,1.4123,3.606,1.3624,0.81676,0.09704,0.13754,0.09405,1.37974,3.32622,1.33667,0.00021182,0.00021182,0.00021182
7,51.6008,1.41516,3.39577,1.3616,0.8075,0.10815,0.15394,0.09847,1.40267,3.24895,1.34699,0.000206584,0.000206584,0.000206584
8,59.4265,1.43483,3.25748,1.36675,0.86526,0.14719,0.17346,0.1188,1.41412,2.92642,1.35937,0.000201348,0.000201348,0.000201348
9,66.5272,1.433,2.93026,1.38301,0.7946,0.15839,0.18971,0.12309,1.43983,2.6585,1.36605,0.000196112,0.000196112,0.000196112
10,73.806,1.42442,2.77569,1.38104,0.8033,0.16598,0.20282,0.12894,1.42351,2.49309,1.3639,0.000190876,0.000190876,0.000190876
11,81.2046,1.41141,2.70496,1.35741,0.7955,0.19018,0.20721,0.13352,1.41002,2.36039,1.35246,0.00018564,0.00018564,0.00018564
12,88.8136,1.42046,2.51506,1.3609,0.71672,0.20653,0.22341,0.14248,1.39026,2.28664,1.33916,0.000180404,0.000180404,0.000180404
13,96.1012,1.4027,2.4426,1.35198,0.79215,0.22257,0.23378,0.14849,1.42948,2.22607,1.3691,0.000175168,0.000175168,0.000175168
14,103.188,1.38936,2.36075,1.3525,0.73631,0.25914,0.27746,0.18101,1.40514,2.12648,1.36015,0.000169932,0.000169932,0.000169932
15,110.165,1.39369,2.28349,1.35276,0.69749,0.27085,0.2677,0.17204,1.4136,2.04413,1.35542,0.000164696,0.000164696,0.000164696
16,117.135,1.39761,2.16601,1.33867,0.78039,0.23677,0.28166,0.18576,1.37964,2.05654,1.3391,0.00015946,0.00015946,0.00015946
17,124.554,1.35853,2.10923,1.31705,0.77879,0.22597,0.2636,0.17097,1.3851,1.97589,1.34238,0.000154224,0.000154224,0.000154224
18,131.776,1.35664,2.0454,1.32883,0.63718,0.28759,0.28202,0.18249,1.39245,1.93391,1.3441,0.000148988,0.000148988,0.000148988
19,139.229,1.3312,2.00888,1.30949,0.62294,0.2801,0.28269,0.18252,1.38557,1.91887,1.33948,0.000143752,0.000143752,0.000143752
20,146.753,1.32585,1.96455,1.31659,0.67593,0.2628,0.293,0.19207,1.35742,1.83584,1.32593,0.000138516,0.000138516,0.000138516
21,154.362,1.2998,1.95287,1.28203,0.72023,0.26281,0.29944,0.19715,1.37501,1.81495,1.33515,0.00013328,0.00013328,0.00013328
