epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7612,1.0643,2.58252,2.43418,1.2311,0.61134,0.49756,0.53018,0.3308,0.58317,0.48566,0.50633,0.29485,1.19983,2.554,1.81553,1.38104,0.000414095,0.000414095,0.000414095
2,90.3853,1.10378,2.46289,1.53462,1.2593,0.62921,0.63735,0.62961,0.38101,0.67302,0.55122,0.59042,0.32998,1.23708,2.63996,1.51123,1.40203,0.000812485,0.000812485,0.000812485
3,130.43,1.12463,2.47635,1.46787,1.28355,0.68608,0.5884,0.62365,0.3885,0.67096,0.5654,0.59162,0.34152,1.21303,2.54789,1.47641,1.40692,0.00119254,0.00119254,0.00119254
4,170.772,1.14822,2.52502,1.39384,1.2882,0.67843,0.59738,0.61771,0.36494,0.66801,0.58515,0.58582,0.32449,1.27313,2.5022,1.44586,1.45227,0.0011675,0.0011675,0.0011675
5,210.813,1.12933,2.48802,1.35575,1.27524,0.70761,0.66061,0.69726,0.43932,0.71126,0.64474,0.67956,0.41489,1.19736,2.26352,1.19925,1.374,0.00114,0.00114,0.00114
6,250.396,1.0912,2.43371,1.2637,1.2548,0.72421,0.6136,0.69875,0.45307,0.74747,0.58698,0.67582,0.4045,1.14386,2.40476,1.257,1.32755,0.0011125,0.0011125,0.0011125
7,290.167,1.07635,2.34907,1.22995,1.24356,0.69469,0.66396,0.68454,0.45,0.68313,0.64567,0.6523,0.3825,1.12591,2.50092,1.23226,1.32088,0.001085,0.001085,0.001085
8,330.552,1.06054,2.36542,1.19391,1.23002,0.76999,0.64461,0.71104,0.46,0.74152,0.63342,0.67764,0.42029,1.12074,2.31727,1.16073,1.31318,0.0010575,0.0010575,0.0010575
9,370.504,1.02767,2.30856,1.14249,1.22288,0.77631,0.68404,0.74286,0.49206,0.77321,0.66762,0.71856,0.44975,1.09367,2.15171,1.10362,1.31392,0.00103,0.00103,0.00103
10,410.829,1.01919,2.26312,1.10005,1.21388,0.79073,0.67359,0.73905,0.49266,0.7891,0.6501,0.70785,0.44553,1.07712,2.18699,1.06044,1.28999,0.0010025,0.0010025,0.0010025
11,450.936,0.98865,2.2206,1.07962,1.19803,0.78097,0.67706,0.74423,0.49807,0.79591,0.64748,0.71778,0.44171,1.05722,2.21592,1.02222,1.27065,0.000975,0.000975,0.000975
12,491.499,1.00916,2.2133,1.07708,1.20829,0.78014,0.68272,0.74305,0.48963,0.78688,0.65418,0.7113,0.4342,1.09661,2.27175,1.06918,1.30284,0.0009475,0.0009475,0.0009475
13,531.534,0.98631,2.18514,1.02952,1.19164,0.82904,0.70797,0.77163,0.52137,0.82005,0.69331,0.75064,0.48121,1.04616,2.03375,0.97967,1.26522,0.00092,0.00092,0.00092
14,572.008,0.97505,2.15069,1.03136,1.18257,0.77154,0.69958,0.74979,0.51005,0.75914,0.68414,0.71832,0.45316,1.03793,2.16701,1.03381,1.24197,0.0008925,0.0008925,0.0008925
15,611.19,0.97355,2.18816,1.02041,1.19798,0.77622,0.71593,0.75858,0.51963,0.77202,0.70616,0.74489,0.4735,1.02699,2.07756,0.96209,1.23837,0.000865,0.000865,0.000865
16,651.114,0.93637,2.14499,0.98597,1.16305,0.76161,0.71178,0.75305,0.51755,0.77506,0.67783,0.71767,0.46367,0.96042,2.04481,0.99859,1.19757,0.0008375,0.0008375,0.0008375
17,690.893,0.94238,2.10793,0.9556,1.16943,0.80794,0.73986,0.79379,0.55868,0.7929,0.72076,0.77049,0.49866,0.96936,1.97873,0.90945,1.20576,0.00081,0.00081,0.00081
18,731.031,0.90934,2.06518,0.937,1.15392,0.79058,0.74197,0.78689,0.54653,0.78115,0.71492,0.75741,0.49459,0.9821,2.00576,0.96533,1.22763,0.0007825,0.0007825,0.0007825
19,770.87,0.91993,2.03413,0.92663,1.14972,0.82404,0.72016,0.7922,0.55489,0.81592,0.70105,0.76687,0.50206,0.98449,1.96973,0.91884,1.21147,0.000755,0.000755,0.000755
20,810.913,0.9272,2.0637,0.93962,1.15861,0.83698,0.7025,0.79306,0.55665,0.83914,0.67383,0.75298,0.49905,0.96864,1.98397,0.89951,1.20172,0.0007275,0.0007275,0.0007275
21,851.064,0.91004,1.9978,0.90542,1.14156,0.80318,0.75237,0.78698,0.55006,0.79352,0.73736,0.76449,0.49561,0.95487,1.97795,0.87217,1.19342,0.0007,0.0007,0.0007
